track_id,artist_name,track_name,album_name,album_release_date,duration_ms,explicit,track_number,disc_number,track_popularity,album_popularity,track_vs_album_popularity,artist_popularity,artist_followers,album_vs_artist_popularity,tempo,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,energy_danceability_score
3wbPqMxlKyA2jm8vaTNDdu,Mindfulness meditation världen,Stimuleringsljud,"Musik för fokus och studie (Bakgrundsmusik för snabb inlärning, Koncentration, Bakgrund för läsning, Avkoppling)",2018-10-02,227692,0,3,1,1,4,0.9166666666666667,7,158,1.253731343283582,102.823,0,0,0.405,0.052,-22.096,0.055,0.978,0.58,0.0901,0.122,0.02106
3wbPrXL43qaBZYfGQEx6Ws,Abbacadabra,"Take A Chance On Me (Almighty 12"" Definitive Mix)",Almighty Presents: Take A Chance On Me,2008-01-01,336346,0,4,1,13,5,1.625,28,4363,0.440251572327044,130.021,11,1,0.714,0.936,-4.32,0.0337,0.0416,7.25e-05,0.065,0.946,0.668304
3wbPsrNM3hkOcNCmijJpwB,Die drei ???,119 - Der geheime Schlüssel - Teil 08,119/Der geheime Schlüssel,2004-09-07,101280,0,8,1,37,52,1.0150891632373114,87,1142355,1.0137898240608656,78.826,11,0,0.647,0.358,-16.506,0.888,0.518,0.0,0.467,0.659,0.231626
3wbPuzFY0iqrmcVtFhFIhK,Dat Boi T,Million Dollar Starz (feat. Pancho V),Thoed Essays 3: Watch the Latin Throne,2013-01-17,318552,1,8,1,4,12,0.8686514886164624,32,26040,1.5836734693877552,139.963,8,1,0.707,0.801,-6.468,0.0455,0.0191,0.0,0.451,0.512,0.566307
3wbPuzFY0iqrmcVtFhFIhK,Lucky Luciano,Million Dollar Starz (feat. Pancho V),Thoed Essays 3: Watch the Latin Throne,2013-01-17,318552,1,8,1,4,12,0.8686514886164624,37,84270,1.3053613053613053,139.963,8,1,0.707,0.801,-6.468,0.0455,0.0191,0.0,0.451,0.512,0.566307
3wbPuzFY0iqrmcVtFhFIhK,Pancho V,Million Dollar Starz (feat. Pancho V),Thoed Essays 3: Watch the Latin Throne,2013-01-17,318552,1,8,1,4,12,0.8686514886164624,14,2648,1.0,139.963,8,1,0.707,0.801,-6.468,0.0455,0.0191,0.0,0.451,0.512,0.566307
3wbPvkTGox700oY5oDJPzY,2BIC,My Only One,Calendar Of 2BIC (August),2018-08-21,276245,0,1,1,19,8,1.0,27,18524,1.2307692307692308,77.985,6,1,0.587,0.647,-3.484,0.0276,0.487,0.0,0.14,0.407,0.379789
3wbPwXikqPtLieQpcholXM,Tecuejos Electroplasmicos,La Cosa De La Tumba,Las más Tecuejas de las Vidas,2024-03-13,170823,0,1,1,2,4,0.47058823529411764,2,327,1.0,170.164,1,1,0.557,0.225,-17.465,0.0426,0.746,0.828,0.106,0.178,0.12532500000000002
3wbPwlmgP1gA1yiONf9KFk,OGMECBABY,Quem Não Gosta de Dinheiro.,666 Fucktheworld É o Capeta,2022-10-28,152923,1,1,1,3,1,1.054054054054054,27,1727,0.25301204819277107,100.532,8,1,0.474,0.748,-4.611,0.284,0.473,0.0,0.342,0.728,0.354552
3wbPwlmgP1gA1yiONf9KFk,PCN boladão,Quem Não Gosta de Dinheiro.,666 Fucktheworld É o Capeta,2022-10-28,152923,1,1,1,3,1,1.054054054054054,41,48568,0.16265060240963855,100.532,8,1,0.474,0.748,-4.611,0.284,0.473,0.0,0.342,0.728,0.354552
